,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE_Duplicate,BEDS_Duplicate,BATHS_Duplicate,SQUARE FEET_Duplicate,YEAR BUILT_Duplicate,PRICE_ESTIMATE
0,MLS Listing,,Condo/Co-op,1335 S Prairie Ave #1105,Chicago,IL,60605,799000,3.0,2.5,Museum Park Tower II,2076.0,,2003.0,1,385.0,1170.0,Active,,,http://www.redfin.com/IL/Chicago/1335-S-Prairie-Ave-60605/unit-1105/home/12669427,MRED,11268174,N,Y,41.8646742,-87.6207646,799000,3.0,2.5,2076.0,2003.0,726273.6657196353
1,MLS Listing,,Single Family Residential,4944 W Roscoe St,Chicago,IL,60641,424900,4.0,3.5,CHI - Portage Park,2921.0,4173.0,1924.0,1,145.0,,Active,,,http://www.redfin.com/IL/Chicago/4944-W-Roscoe-St-60641/home/13459053,MRED,11268165,N,Y,41.9426263,-87.7512488,424900,4.0,3.5,2921.0,1924.0,1007532.188520534
2,MLS Listing,,Single Family Residential,8111 S Scottsdale Ave,Chicago,IL,60652,265000,3.0,1.0,CHI - Ashburn,998.0,,1956.0,1,266.0,,Active,,,http://www.redfin.com/IL/Chicago/8111-S-Scottsdale-Ave-60652/home/13970844,MRED,11268170,N,Y,41.7459643,-87.7371723,265000,3.0,1.0,998.0,1956.0,13942.019276513252
3,MLS Listing,,Condo/Co-op,4335 N Mozart St #1,Chicago,IL,60618,325000,3.0,2.0,CHI - Irving Park,1875.0,,2002.0,1,173.0,248.0,Active,November-14-2021 11:00 AM,November-14-2021 12:30 PM,http://www.redfin.com/IL/Chicago/4335-N-Mozart-St-60618/unit-1/home/12727392,MRED,11266874,N,Y,41.9604574,-87.6993442,325000,3.0,2.0,1875.0,2002.0,555706.7675297279
4,MLS Listing,,Single Family Residential,5736 S Loomis Blvd,Chicago,IL,60636,159900,5.0,2.0,CHI - West Englewood,1953.0,3123.0,1906.0,1,82.0,,Active,,,http://www.redfin.com/IL/Chicago/5736-S-Loomis-Blvd-60636/home/13941117,MRED,11268151,N,Y,41.7893705,-87.6598662,159900,5.0,2.0,1953.0,1906.0,253792.7138958876
5,MLS Listing,,Single Family Residential,6619 S Saint Lawrence Ave,Chicago,IL,60619,149900,4.0,1.0,CHI - Chatham,1744.0,3027.0,1915.0,1,86.0,,Active,,,http://www.redfin.com/IL/Chicago/6619-S-St-Lawrence-Ave-60637/home/13930091,MRED,11268149,N,Y,41.7742661,-87.6103743,149900,4.0,1.0,1744.0,1915.0,95528.99473957624
6,MLS Listing,,Condo/Co-op,2912 N Commonwealth Ave Unit 10CD,Chicago,IL,60657,1300000,4.0,3.5,CHI - Lake View,4500.0,,1929.0,1,289.0,2379.0,Active,,,http://www.redfin.com/IL/Chicago/2912-N-Commonwealth-Ave-60657/unit-10CD/home/104210194,MRED,11268146,N,Y,41.9348315,-87.6383318,1300000,4.0,3.5,4500.0,1929.0,1514878.1051171925
7,MLS Listing,,Single Family Residential,3226 N Ozark Ave,Chicago,IL,60634,335000,4.0,2.0,CHI - Dunning,979.0,,1943.0,1,342.0,,Active,November-13-2021 01:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Chicago/3226-N-Ozark-Ave-60634/home/13540864,MRED,11264442,N,Y,41.938729,-87.8204904,335000,4.0,2.0,979.0,1943.0,95244.10148761142
10,MLS Listing,,Condo/Co-op,2000 N Lincoln Park West #802,Chicago,IL,60614,499000,2.0,2.0,CHI - Lincoln Park,1250.0,,1931.0,1,399.0,890.0,Active,,,http://www.redfin.com/IL/Chicago/2000-N-Lincoln-Park-W-60614/unit-802/home/12659120,MRED,11268125,N,Y,41.9199016,-87.6365672,499000,2.0,2.0,1250.0,1931.0,386033.893497529
12,MLS Listing,,Condo/Co-op,1151 W 14th Pl #301,Chicago,IL,60608,325000,1.0,1.0,University Commons,1005.0,,2004.0,1,323.0,437.0,Active,,,http://www.redfin.com/IL/Chicago/1151-W-14th-Pl-60608/unit-301/home/18935040,MRED,11268111,N,Y,41.8623228,-87.6562151,325000,1.0,1.0,1005.0,2004.0,288635.4855501116
